UserID,Age,Gender,Country,SubscriptionStatus,TotalWatchTime,Device,Rating_Status,Movie_Title,Genre_Name
SF_10,65,F,Italy,Free,458,Mobile,Rater,"Funhouse, The",Horror
SF_10,65,F,Italy,Free,458,Mobile,Rater,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",Drama
SF_100,39,M,Italy,Subscriber,292,Desktop,Rater,Juno and Paycock,Drama
SF_1001,43,M,France,Subscriber,249,Mobile,Rater,Rosie,Drama
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,"Devil's Own, The",Action
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,"Devil's Own, The",Drama
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,"Devil's Own, The",Thriller
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,"Devil's Own, The",War
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,Yankee Zulu,Comedy
SF_1003,42,M,France,Subscriber,203,Tablet,Rater,Yankee Zulu,Drama
SF_1006,47,M,USA,Free,409,Smart TV,Rater,Stranger in the House,Thriller
SF_1007,58,M,Canada,Subscriber,328,Mobile,Rater,Surviving Picasso,Drama
SF_1007,58,M,Canada,Subscriber,328,Mobile,Rater,Unstrung Heroes,Comedy
SF_1007,58,M,Canada,Subscriber,328,Mobile,Rater,Unstrung Heroes,Drama
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Devil's Advocate, The",Crime
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Devil's Advocate, The",Horror
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Devil's Advocate, The",Mystery
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Devil's Advocate, The",Thriller
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Mirror Has Two Faces, The",Comedy
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Mirror Has Two Faces, The",Romance
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Piano, The",Drama
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,"Piano, The",Romance
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,Seventh Heaven (Le Septième ciel),Drama
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater,Seventh Heaven (Le Septième ciel),Romance
SF_1009,53,M,Italy,Free,433,Desktop,Rater,Sprung,Comedy
SF_1011,10,M,France,Subscriber,392,Mobile,Rater,Detroit 9000,Action
SF_1011,10,M,France,Subscriber,392,Mobile,Rater,Detroit 9000,Crime
SF_1011,10,M,France,Subscriber,392,Mobile,Rater,Police Academy 2: Their First Assignment,Comedy
SF_1012,21,F,India,Free,303,Smart TV,Rater,Sweet and Lowdown,Comedy
SF_1012,21,F,India,Free,303,Smart TV,Rater,Sweet and Lowdown,Drama
SF_1012,21,F,India,Free,303,Smart TV,Rater,"Thing, The",Action
SF_1012,21,F,India,Free,303,Smart TV,Rater,"Thing, The",Horror
SF_1012,21,F,India,Free,303,Smart TV,Rater,"Thing, The",Sci-Fi
SF_1012,21,F,India,Free,303,Smart TV,Rater,"Thing, The",Thriller
SF_1012,21,F,India,Free,303,Smart TV,Rater,Wisdom,Action
SF_1012,21,F,India,Free,303,Smart TV,Rater,Wisdom,Crime
SF_1013,48,M,France,Free,316,Desktop,Rater,High Art,Drama
SF_1013,48,M,France,Free,316,Desktop,Rater,High Art,Romance
SF_1015,13,M,India,Subscriber,348,Mobile,Rater,Under Siege 2: Dark Territory,Action
SF_1015,13,M,India,Subscriber,348,Mobile,Rater,Young Frankenstein,Comedy
SF_1015,13,M,India,Subscriber,348,Mobile,Rater,Young Frankenstein,Horror
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,"Crow: Salvation, The",Action
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,"Crow: Salvation, The",Horror
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,"Exorcist, The",Horror
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,Roommates,Comedy
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,Roommates,Drama
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,Woman on Top,Comedy
SF_1016,65,M,Canada,Free,77,Smart TV,Rater,Woman on Top,Romance
SF_1017,9,M,UK,Free,313,Tablet,Rater,"Crush, The",Thriller
SF_1017,9,M,UK,Free,313,Tablet,Rater,"English Patient, The",Drama
SF_1017,9,M,UK,Free,313,Tablet,Rater,"English Patient, The",Romance
SF_1017,9,M,UK,Free,313,Tablet,Rater,"English Patient, The",War
SF_1017,9,M,UK,Free,313,Tablet,Rater,Groundhog Day,Comedy
SF_1017,9,M,UK,Free,313,Tablet,Rater,Groundhog Day,Romance
SF_1018,65,M,USA,Free,473,Mobile,Rater,"Shaggy Dog, The",Children's
