UserID,Age,Gender,Country,SubscriptionStatus,TotalWatchTime,Device,Rating_Status
SF_10,65,F,Italy,Free,458,Mobile,Rater
SF_100,39,M,Italy,Subscriber,292,Desktop,Rater
SF_1001,43,M,France,Subscriber,249,Mobile,Rater
SF_1003,42,M,France,Subscriber,203,Tablet,Rater
SF_1006,47,M,USA,Free,409,Smart TV,Rater
SF_1007,58,M,Canada,Subscriber,328,Mobile,Rater
SF_1008,58,M,USA,Subscriber,377,Tablet,Rater
SF_1009,53,M,Italy,Free,433,Desktop,Rater
SF_1011,10,M,France,Subscriber,392,Mobile,Rater
SF_1012,21,F,India,Free,303,Smart TV,Rater
SF_1013,48,M,France,Free,316,Desktop,Rater
SF_1015,13,M,India,Subscriber,348,Mobile,Rater
SF_1016,65,M,Canada,Free,77,Smart TV,Rater
SF_1017,9,M,UK,Free,313,Tablet,Rater
SF_1018,65,M,USA,Free,473,Mobile,Rater
SF_1019,28,M,France,Subscriber,346,Smart TV,Rater
SF_102,57,M,France,Free,221,Tablet,Rater
SF_1020,65,M,France,Subscriber,146,Mobile,Rater
SF_1022,46,M,France,Free,47,Desktop,Rater
SF_1023,44,M,Italy,Subscriber,435,Desktop,Rater
SF_1025,50,M,USA,Free,372,Desktop,Rater
SF_1026,62,F,France,Subscriber,317,Smart TV,Rater
SF_1027,34,M,Canada,Subscriber,130,Smart TV,Rater
SF_1028,46,F,Canada,Free,67,Smart TV,Rater
SF_103,48,M,France,Subscriber,500,Desktop,Rater
SF_1030,47,M,USA,Free,237,Desktop,Rater
SF_1033,43,M,France,Subscriber,102,Mobile,Rater
SF_1035,29,M,USA,Subscriber,304,Mobile,Rater
SF_1037,54,M,UK,Subscriber,458,Desktop,Rater
SF_1038,13,F,Canada,Subscriber,419,Desktop,Rater
SF_1039,42,F,India,Free,281,Smart TV,Rater
SF_104,56,M,Italy,Free,224,Smart TV,Rater
SF_1040,39,M,Canada,Subscriber,163,Smart TV,Rater
SF_1041,51,M,France,Free,414,Tablet,Rater
SF_1042,40,M,Canada,Subscriber,88,Smart TV,Rater
SF_1043,54,F,France,Subscriber,144,Tablet,Rater
SF_1045,28,F,France,Subscriber,491,Desktop,Rater
SF_1047,26,M,Italy,Free,461,Mobile,Rater
SF_1048,45,M,Canada,Free,218,Tablet,Rater
SF_1049,48,M,Italy,Free,225,Smart TV,Rater
SF_105,32,M,Canada,Free,302,Mobile,Rater
SF_1050,56,M,Italy,Free,320,Tablet,Rater
SF_1053,28,M,UK,Free,391,Desktop,Rater
SF_1054,58,M,USA,Subscriber,99,Desktop,Rater
SF_1056,40,M,France,Free,243,Desktop,Rater
SF_1057,59,M,France,Subscriber,219,Desktop,Rater
SF_1058,23,M,UK,Subscriber,115,Mobile,Rater
SF_106,14,F,Canada,Free,301,Smart TV,Rater
SF_1061,31,M,Italy,Subscriber,148,Tablet,Rater
SF_1062,27,M,Canada,Subscriber,340,Mobile,Rater
SF_1063,32,M,India,Subscriber,45,Desktop,Rater
SF_1064,56,M,France,Free,493,Desktop,Rater
SF_1065,57,F,India,Free,171,Tablet,Rater
SF_1066,11,M,USA,Free,400,Tablet,Rater
SF_1067,55,M,India,Subscriber,218,Mobile,Rater
SF_1069,26,M,USA,Free,296,Desktop,Rater
SF_107,53,M,Canada,Subscriber,293,Smart TV,Rater
SF_1070,30,F,India,Free,388,Tablet,Rater
SF_1071,56,M,Italy,Free,414,Smart TV,Rater
SF_1073,37,F,India,Subscriber,136,Desktop,Rater
SF_1074,30,M,France,Free,374,Smart TV,Rater
SF_1075,44,F,Italy,Subscriber,41,Tablet,Rater
SF_1076,58,F,India,Subscriber,395,Smart TV,Rater
SF_1078,44,F,USA,Free,145,Smart TV,Rater
SF_1079,57,M,UK,Free,138,Smart TV,Rater
SF_108,36,M,Canada,Subscriber,418,Desktop,Rater
SF_1080,46,M,USA,Free,434,Tablet,Rater
SF_1082,41,M,USA,Free,31,Mobile,Rater
SF_1085,37,M,UK,Subscriber,114,Smart TV,Rater
SF_1086,11,M,France,Subscriber,321,Mobile,Rater
SF_1088,23,F,France,Subscriber,420,Smart TV,Rater
SF_109,64,M,India,Free,323,Smart TV,Rater
SF_1090,42,M,Italy,Free,198,Smart TV,Rater
SF_1091,14,M,UK,Subscriber,169,Tablet,Rater
SF_1093,59,M,France,Subscriber,152,Smart TV,Rater
SF_1094,57,F,France,Free,314,Tablet,Rater
SF_1095,58,F,USA,Subscriber,286,Smart TV,Rater
SF_1097,57,M,France,Free,240,Tablet,Rater
SF_1098,39,M,Italy,Free,90,Tablet,Rater
